UnitCardAsset,Chassis,Variant,Type,Usage,IntroDate,BV2,Role,EnvironmentBlacklist,IntroDifficulty,Tier,Notes,Comstar_Rarity,Davion_Rarity,FreeRasalhagueRepublic_Rarity,Kurita_Rarity,Liao_Rarity,Marik_Rarity,Steiner_Rarity,Mercenaries_Rarity,Periphery_Rarity,Outlaws_Rarity,Independent_Rarity,BlackInferno_Rarity,FederatedCommonwealth_Rarity,Oberon_Confederation_Rarity,MagistracyOfCanopusRarity,TheBadDream_Rarity,Blackhearts_Rarity,BrionsLegion_Rarity,CraterCobras_Rarity,EridaniLightHorse_Rarity,FilthyLucre_Rarity,GrayDeathLegion_Rarity,GreggsLongstriders_Rarity,HansensRoughRiders_Rarity,HarlocksWarriors_Rarity,KellHounds_Rarity,LindonsCompany_Rarity,McCarronsArmoredCalvary_Rarity,MobileFire_Rarity,NorthwindHighlanders_Rarity,Thumpers_Rarity,WacoRangers_Rarity,WolfsDragoons_Rarity,Vest_Rarity,SolarisArms_Rarity,TripleF_Rarity,JumpJetFuel_Rarity,HighImpactBallistics_Rarity,BullheadArmor_Rarity,Musclebound_Rarity,EarthwerksIncorporated_Rarity,IroncladSystems_Rarity,LedouxEnterprises_Rarity,NovaTech_Rarity,StarfallCorp_Rarity,VanguardIndustries_Rarity
YASV_BLK-OD_UnitCard,Conquistador,BLK-OD,UnitType.Mech.Heavy,Unit.Usage.Market,1/1/3120,2420,Unit.Role.Brawler,,72,7,GeneratedByMechDatabaseExtender,VeryRare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YASV_BLK-O_UnitCard,Conquistador,BLK-O,UnitType.Mech.Heavy,Unit.Usage.Market,1/1/3091,2420,Unit.Role.Brawler,,72,7,GeneratedByMechDatabaseExtender,VeryRare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YASV_GRF-1A_UnitCard,Griffin,GRF-1A,UnitType.Mech.Heavy,Unit.Usage.Market,1/1/2465,1024,Unit.Role.Sniper,,15,2,GeneratedByMechDatabaseExtender,Uncommon,Uncommon,Uncommon,Uncommon,Uncommon,Uncommon,Uncommon,Uncommon,Rare,Uncommon,Uncommon,Uncommon,Uncommon,Uncommon,Uncommon,Uncommon,Uncommon,Uncommon,Uncommon,Uncommon,Uncommon,Uncommon,Uncommon,Uncommon,,,,,,,,,,,,,,,,,,,,,,
YASV_HMR-3C_UnitCard,Hammer,HMR-3C,UnitType.Mech.Light,Unit.Usage.Market,1/1/3056,976,Unit.Role.Juggernaut,,3,3,GeneratedByMechDatabaseExtender,Uncommon,Common,Rare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YASV_HMR-3M_UnitCard,Hammer,HMR-3M,UnitType.Mech.Light,Unit.Usage.Market,1/1/3053,787,Unit.Role.Juggernaut,,3,3,GeneratedByMechDatabaseExtender,Uncommon,Common,Common,Common,Uncommon,Common,Common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YASV_HMR-3P_UnitCard,Hammer,HMR-3P,UnitType.Mech.Light,Unit.Usage.Market,1/1/3060,827,Unit.Role.Brawler,,3,3,GeneratedByMechDatabaseExtender,Uncommon,Common,Rare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YASV_HMR-3S_UnitCard,Hammer,HMR-3S,UnitType.Mech.Light,Unit.Usage.Market,1/1/3054,638,Unit.Role.MissileBoat,,3,3,GeneratedByMechDatabaseExtender,Uncommon,Common,Rare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YASV_HTM-26P-M_UnitCard,Hatamoto-Chi Marasai,HTM-26P-M,UnitType.Mech.Assault,Unit.Usage.Market,1/1/3045,1309,Unit.Role.Brawler,,41,5,GeneratedByMechDatabaseExtender,VeryRare,VeryRare,Rare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YASV_HTM-26T-M_UnitCard,Hatamoto-Chi Marasai,HTM-26T-M,UnitType.Mech.Assault,Unit.Usage.Market,1/1/3039,1536,Unit.Role.Brawler,,48,5,GeneratedByMechDatabaseExtender,VeryRare,Uncommon,Uncommon,Uncommon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YASV_HTM-27T-M_UnitCard,Hatamoto-Chi Marasai,HTM-27T-M,UnitType.Mech.Assault,Unit.Usage.Market,1/1/3042,1571,Unit.Role.Brawler,,48,5,GeneratedByMechDatabaseExtender,VeryRare,Rare,Rare,Rare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YASV_HTM-27W-M_UnitCard,Hatamoto-Ku Marasai,HTM-27W-M,UnitType.Mech.Assault,Unit.Usage.Market,1/1/3048,1563,Unit.Role.Sniper,,48,5,GeneratedByMechDatabaseExtender,VeryRare,Rare,Rare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YASV_HTM-ON-M_DLC4_UnitCard,,,UnitType.Mech.Assault,Unit.Usage.Special,1/1/3034,1512,Unit.Role.Brawler,,48,5,GeneratedByMechDatabaseExtender,Unique,Unique,Unique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YASV_HTM-ON-M_UnitCard,Hatamoto-Chi Marsai,HTM-ON-M,UnitType.Mech.Assault,Unit.Usage.Special,1/1/3034,1512,Unit.Role.Brawler,,48,5,GeneratedByMechDatabaseExtender,Unique,Unique,Unique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YASV_HCT-RX_UnitCard,Hatchetman,HCT-RX,UnitType.Mech.Medium,Unit.Usage.Market,1/1/3023,854,Unit.Role.Skirmisher,,4,3,GeneratedByMechDatabaseExtender,Rare,Uncommon,Uncommon,Uncommon,Rare,Rare,Uncommon,Uncommon,Rare,Rare,Rare,Rare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YASV_HCT-S7_UnitCard,Hatchetman,HCT-S7,UnitType.Mech.Medium,Unit.Usage.Market,1/1/3067,2197,Unit.Role.Skirmisher,,4,3,GeneratedByMechDatabaseExtender,Rare,Uncommon,Uncommon,Uncommon,Rare,Rare,Uncommon,Uncommon,Rare,Rare,Rare,Rare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YASV_HBK-4X_UnitCard,Hunchback,HBK-4X,UnitType.Mech.Medium,Unit.Usage.Market,1/1/3068,1495,Unit.Role.Juggernaut,,7,5,GeneratedByMechDatabaseExtender,Common,Common,Common,Uncommon,Uncommon,Common,Uncommon,VeryCommon,VeryCommon,Common,Common,Uncommon,Common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YASV_HBK-S7_UnitCard,Hunchback,HBK-S7,UnitType.Mech.Medium,Unit.Usage.Market,1/1/3068,1495,Unit.Role.Juggernaut,,7,5,GeneratedByMechDatabaseExtender,Rare,Unavailable,Unavailable,Unavailable,Common,Rare,Uncommon,Unavailable,Unavailable,Uncommon,Common,Rare,Unavailable,Rare,Unavailable,Unavailable,Rare,Rare,Rare,Rare,Rare,Rare,Rare,,,,,,,,,,,,,,,,,,,,,,,
YASV_HBK-IIC-1_UnitCard,Hunchback IIC,HBK-IIC-1,UnitType.Mech.Medium,Unit.Usage.Market,1/1/3050,1175,Unit.Role.Juggernaut,,7,5,GeneratedByMechDatabaseExtender,Common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YASV_HBK-IIC-2_UnitCard,Hunchback IIC,HBK-IIC-2,UnitType.Mech.Medium,Unit.Usage.Market,1/1/3050,1308,Unit.Role.Juggernaut,,7,5,GeneratedByMechDatabaseExtender,Common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YASV_HBK-IIC-3_UnitCard,Hunchback IIC,HBK-IIC-3,UnitType.Mech.Medium,Unit.Usage.Market,1/1/3050,1366,Unit.Role.Juggernaut,,7,5,GeneratedByMechDatabaseExtender,Common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YASV_HBK-IIC-4_UnitCard,Hunchback IIC,HBK-IIC-4,UnitType.Mech.Medium,Unit.Usage.Market,1/1/3050,1468,Unit.Role.Juggernaut,,7,5,GeneratedByMechDatabaseExtender,Common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YASV_HBK-IIC-5_UnitCard,Hunchback IIC,HBK-IIC-5,UnitType.Mech.Medium,Unit.Usage.Market,1/1/3050,1354,Unit.Role.Juggernaut,,7,5,GeneratedByMechDatabaseExtender,Common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YASV_HBK-IIC-DW_UnitCard,Hunchback IIC,HBK-IIC-DW,UnitType.Mech.Medium,Unit.Usage.Market,1/1/3050,1455,Unit.Role.Juggernaut,,7,5,GeneratedByMechDatabaseExtender,Rare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YASV_JM7-C3BS_UnitCard,JagerMech,JM7-C3BS,UnitType.Mech.Heavy,Unit.Usage.Market,1/1/3075,1354,Unit.Role.Sniper,,50,7,GeneratedByMechDatabaseExtender,Uncommon,Uncommon,Rare,Common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YASV_JM7-D_UnitCard,JagerMech,JM7-D,UnitType.Mech.Heavy,Unit.Usage.Market,1/1/3057,1500,Unit.Role.Sniper,,45,7,GeneratedByMechDatabaseExtender,Rare,Rare,VeryCommon,Common,VeryRare,Uncommon,Uncommon,Uncommon,VeryCommon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YASV_JM7-F_UnitCard,JagerMech,JM7-F,UnitType.Mech.Heavy,Unit.Usage.Market,1/1/3062,1774,Unit.Role.Sniper,,60,8,GeneratedByMechDatabaseExtender,Rare,Rare,VeryCommon,Common,VeryRare,Uncommon,Uncommon,Uncommon,VeryCommon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YASV_JM7-G_UnitCard,JagerMech,JM7-G,UnitType.Mech.Heavy,Unit.Usage.Market,1/1/3068,1278,Unit.Role.Sniper,,45,7,GeneratedByMechDatabaseExtender,Rare,Rare,VeryCommon,Common,VeryRare,Uncommon,Uncommon,Uncommon,VeryCommon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YASV_LGB0F-MG_UnitCard,Joermungandr,LGB0F-MG,UnitType.Mech.Assault,Unit.Usage.Market,1/1/3050,1900,Unit.Role.MissileBoat,,60,8,GeneratedByMechDatabaseExtender,Uncommon,Uncommon,Uncommon,Uncommon,Uncommon,Uncommon,Uncommon,Uncommon,Uncommon,Uncommon,Uncommon,Uncommon,Uncommon,Rare,Rare,Uncommon,Uncommon,Uncommon,Common,,,,,,,,,,,,,,,,,,,,,,,,,,,
YASV_LGB-RX_UnitCard,Longbow,LGB-RX,UnitType.Mech.Assault,Unit.Usage.Market,1/1/3105,1653,Unit.Role.MissileBoat,,65,8,GeneratedByMechDatabaseExtender,Uncommon,Uncommon,Uncommon,Uncommon,Uncommon,Uncommon,Uncommon,Uncommon,Uncommon,Uncommon,Uncommon,Uncommon,Uncommon,Rare,Rare,Uncommon,Uncommon,Uncommon,Uncommon,,,,,,,,,,,,,,,,,,,,,,,,,,,
YASV_MAD-LT_UnitCard,Marauder,MAD-LT,UnitType.Mech.Heavy,Unit.Usage.Market,1/1/3068,1863,Unit.Role.Sniper,,44,7,GeneratedByMechDatabaseExtender,VeryRare,VeryRare,VeryRare,VeryRare,VeryRare,VeryRare,VeryRare,VeryRare,Rare,Rare,VeryRare,VeryRare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YASV_MAD-S7_UnitCard,Marauder,MAD-S7,UnitType.Mech.Heavy,Unit.Usage.Market,1/9/3069,2160,Unit.Role.Sniper,,44,7,GeneratedByMechDatabaseExtender,VeryRare,Unavailable,VeryRare,Unavailable,VeryRare,Unavailable,Unavailable,Unavailable,VeryRare,VeryRare,VeryRare,VeryRare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YASV_MAD-8K_UnitCard,Marauder II,MAD-8K,UnitType.Mech.Assault,Unit.Usage.Market,1/1/3132,2849,Unit.Role.Sniper,,80,9,GeneratedByMechDatabaseExtender,Rare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YASV_MAD-RSC_UnitCard,Marauder II,MAD-RSC,UnitType.Mech.Assault,Unit.Usage.Market,1/1/3068,2849,Unit.Role.Sniper,,80,9,GeneratedByMechDatabaseExtender,Rare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YASV_MAD-RX_UnitCard,Marauder II,MAD-RX,UnitType.Mech.Assault,Unit.Usage.Market,1/1/3137,2859,Unit.Role.Juggernaut,,80,9,GeneratedByMechDatabaseExtender,Rare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YASV_PNT-14R_UnitCard,Panther,PNT-14R,UnitType.Mech.Light,Unit.Usage.Market,1/1/3140,1291,Unit.Role.Striker,,5,2,GeneratedByMechDatabaseExtender,VeryRare,VeryRare,VeryRare,VeryRare,Unavailable,Unavailable,VeryRare,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,VeryRare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YASV_QSM-3D_UnitCard,Quasimodo,QSM-3D,UnitType.Mech.Medium,Unit.Usage.Market,1/1/3140,1575,Unit.Role.Juggernaut,,7,5,GeneratedByMechDatabaseExtender,Uncommon,Uncommon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YASV_RFL-3CR_UnitCard,Rifleman,RFL-3CR,UnitType.Mech.Heavy,Unit.Usage.Market,1/2/3071,1129,Unit.Role.Brawler,,35,5,GeneratedByMechDatabaseExtender,Common,Uncommon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YASV_SHD-S7_UnitCard,Shadow Hawk,SHD-S7,UnitType.Mech.Medium,Unit.Usage.Market,1/1/3067,1642,Unit.Role.Juggernaut,,11,5,GeneratedByMechDatabaseExtender,Rare,Unavailable,Unavailable,Unavailable,Common,Rare,Uncommon,Unavailable,Unavailable,Uncommon,Common,Rare,Unavailable,Rare,Unavailable,Unavailable,Rare,Rare,Rare,Rare,Rare,Rare,Rare,,,,,,,,,,,,,,,,,,,,,,,
YASV_GRF-2N-X_UnitCard,Super Griffin,GRF-2N-X,UnitType.Mech.Heavy,Unit.Usage.Market,1/1/3020,1310,Unit.Role.Sniper,,15,4,GeneratedByMechDatabaseExtender,Rare,Rare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YASV_TDR-12R_UnitCard,Thunderbolt,TDR-12R,UnitType.Mech.Heavy,Unit.Usage.Market,1/1/3081,1975,Unit.Role.Skirmisher,,54,6,GeneratedByMechDatabaseExtender,Unavailable,Uncommon,Unavailable,Unavailable,Unavailable,Unavailable,Common,Rare,Unavailable,Unavailable,Unavailable,Rare,Uncommon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YASV_TDR-E5_UnitCard,Thunderbolt,TDR-E5 ERIS,UnitType.Mech.Heavy,Unit.Usage.Market,1/1/3081,2100,Unit.Role.Skirmisher,,54,6,GeneratedByMechDatabaseExtender,Unavailable,Rare,Unavailable,Unavailable,Unavailable,Unavailable,Rare,Rare,Unavailable,Unavailable,Unavailable,Rare,Rare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YASV_TBT-6X_UnitCard,Trebuchet,TBT-6X,UnitType.Mech.Medium,Unit.Usage.Market,1/1/3061,1347,Unit.Role.MissileBoat,,20,4,GeneratedByMechDatabaseExtender,Uncommon,VeryRare,VeryRare,VeryRare,Uncommon,VeryRare,VeryRare,VeryCommon,Uncommon,Uncommon,Uncommon,VeryRare,Uncommon,Rare,Rare,Uncommon,Uncommon,Rare,Rare,Rare,Rare,Uncommon,Rare,,,,,,,,,,,,,,,,,,,,,,,
YASV_TBT-9R_UnitCard,Trebuchet,TBT-9R,UnitType.Mech.Medium,Unit.Usage.Market,1/1/3131,2165,Unit.Role.MissileBoat,,20,4,GeneratedByMechDatabaseExtender,Uncommon,Rare,Uncommon,Uncommon,Common,Common,Uncommon,VeryCommon,Uncommon,Uncommon,Common,Uncommon,Uncommon,Rare,Rare,Uncommon,Uncommon,Rare,Rare,Rare,Rare,Uncommon,Rare,,,,,,,,,,,,,,,,,,,,,,,
YASV_UBL-RX_UnitCard,Urbanlord,UBL-RX,UnitType.Mech.Heavy,Unit.Usage.Market,1/1/3069,2130,Unit.Role.Ambusher,,40,5,GeneratedByMechDatabaseExtender,VeryRare,VeryRare,VeryRare,VeryRare,VeryRare,VeryRare,VeryRare,VeryRare,VeryRare,VeryRare,VeryRare,VeryRare,VeryRare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YASV_WHM-10K_UnitCard,Warhammer,WHM-10K,UnitType.Mech.Heavy,Unit.Usage.Market,1/1/3147,2033,Unit.Role.Brawler,,60,7,GeneratedByMechDatabaseExtender,Uncommon,Common,Common,Common,Uncommon,Uncommon,Common,Common,Uncommon,Uncommon,Rare,VeryRare,VeryCommon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YASV_WHM-66_UnitCard,Warhammer,WHM-66,UnitType.Mech.Heavy,Unit.Usage.Market,1/1/3100,2033,Unit.Role.Brawler,,60,7,GeneratedByMechDatabaseExtender,VeryRare,VeryRare,VeryRare,VeryRare,VeryRare,VeryRare,VeryRare,VeryRare,VeryRare,Rare,Rare,VeryRare,VeryRare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YASV_WHM-X7_UnitCard,Warhammer,WHM-X7,UnitType.Mech.Heavy,Unit.Usage.Fodder,1/1/3076,1807,Unit.Role.Brawler,,60,7,GeneratedByMechDatabaseExtender,Rare,VeryRare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YASV_WHM-X_UnitCard,Warhammer,WHM-X,UnitType.Mech.Heavy,Unit.Usage.Market,1/1/3108,2033,Unit.Role.Brawler,,60,7,GeneratedByMechDatabaseExtender,VeryRare,VeryRare,VeryRare,VeryRare,VeryRare,VeryRare,VeryRare,VeryRare,VeryRare,Rare,Rare,VeryRare,VeryRare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YASV_WMR-IIC-10_UnitCard,Warhammer IIC,WMR-IIC-10,UnitType.Mech.Assault,Unit.Usage.Special,1/1/3145,1603,Unit.Role.Brawler,,70,7,GeneratedByMechDatabaseExtender,Common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YASV_WMR-IIC-11_UnitCard,Warhammer IIC,WMR-IIC-11,UnitType.Mech.Assault,Unit.Usage.Special,1/1/3145,1415,Unit.Role.Brawler,,70,7,GeneratedByMechDatabaseExtender,Common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YASV_WMR-IIC-12_UnitCard,Warhammer IIC,WMR-IIC-12,UnitType.Mech.Assault,Unit.Usage.Special,1/1/3130,1876,Unit.Role.Brawler,,70,7,GeneratedByMechDatabaseExtender,Common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YASV_WMR-IIC-13_UnitCard,Warhammer IIC,WMR-IIC-13,UnitType.Mech.Assault,Unit.Usage.Special,1/1/3150,1900,Unit.Role.Brawler,,70,7,GeneratedByMechDatabaseExtender,Common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YASV_WMR-IIC-1_UnitCard,Warhammer IIC,WMR-IIC,UnitType.Mech.Assault,Unit.Usage.Special,1/1/3050,1799,Unit.Role.Brawler,,70,7,GeneratedByMechDatabaseExtender,Common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YASV_WMR-IIC-2_UnitCard,Warhammer IIC,WMR-IIC-2,UnitType.Mech.Assault,Unit.Usage.Special,1/1/3050,1737,Unit.Role.Brawler,,70,7,GeneratedByMechDatabaseExtender,Common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YASV_WMR-IIC-3_UnitCard,Warhammer IIC,WMR-IIC-3,UnitType.Mech.Assault,Unit.Usage.Special,1/1/3060,1667,Unit.Role.Brawler,,70,7,GeneratedByMechDatabaseExtender,Common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YASV_WMR-IIC-4_UnitCard,Warhammer IIC,WMR-IIC-4,UnitType.Mech.Assault,Unit.Usage.Special,1/1/3062,1670,Unit.Role.Brawler,,70,7,GeneratedByMechDatabaseExtender,Common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YASV_WMR-IIC-5_UnitCard,Warhammer IIC,WMR-IIC-5,UnitType.Mech.Assault,Unit.Usage.Special,1/1/3070,1530,Unit.Role.Brawler,,70,7,GeneratedByMechDatabaseExtender,Common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YASV_WMR-IIC-6_UnitCard,Warhammer IIC,WMR-IIC-6,UnitType.Mech.Assault,Unit.Usage.Special,1/1/3071,1863,Unit.Role.Brawler,,70,7,GeneratedByMechDatabaseExtender,Common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YASV_WMR-IIC-8_UnitCard,Warhammer IIC,WMR-IIC-8,UnitType.Mech.Assault,Unit.Usage.Special,1/1/3079,1666,Unit.Role.Brawler,,70,7,GeneratedByMechDatabaseExtender,Common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YASV_WMR-IIC-9_UnitCard,Warhammer IIC,WMR-IIC-9,UnitType.Mech.Assault,Unit.Usage.Special,1/1/3086,1973,Unit.Role.Brawler,,70,7,GeneratedByMechDatabaseExtender,Common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YASV_WMR-IIC-BL_UnitCard,Warhammer IIC,WMR-IIC-BL,UnitType.Mech.Assault,Unit.Usage.Special,1/1/3050,1511,Unit.Role.Brawler,,70,7,GeneratedByMechDatabaseExtender,Rare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YASV_WMR-IIC-ML_UnitCard,Warhammer IIC,WMR-IIC-ML,UnitType.Mech.Assault,Unit.Usage.Special,1/1/3050,1511,Unit.Role.Brawler,,70,7,GeneratedByMechDatabaseExtender,Rare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YASV_WMR-IIC-RAC_UnitCard,Warhammer IIC,WMR-IIC-RAC,UnitType.Mech.Assault,Unit.Usage.Special,1/1/3050,1575,Unit.Role.Brawler,,70,7,GeneratedByMechDatabaseExtender,Rare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
